specimen.ID,digitizer,species.det,provisional.species,caste,ITS,body.length,scale,name,description,value
,,,,,,,,m12,Maxillary palp length,138.782
,,,,,,,,m13,Galea length,862.712
,,,,,,,,m14,Galea width,167.09279
,,,,,,,,m15,"Stipes width, across from palp",146.69091
OW220708-006,DRA,griseocollis,griseocollis,W,5.808049444,19.95852548,188,m01,Mentum length,691.80922
,,,,,,,205.03902,m02,Mentum width,170.01176
,,,,,ITS pixels,BL pixels,202.70614,m03,Glossa length,1303.56162
,,,,,968.00826,3326.42098,194.78079,m04,"Glossa width, at mid-point",62.03225
,,,,,,,,m05,Flabellum length,33.33333
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,592.36813
,,,,,,166.66667,,m07,Labial palpomere 1 width,41.67733
,,,,,,,,m08,Labial palpomere 2 length,176.81912
,,,,,,,,m09,Labial palpomere 2 width,34.98571
,,,,,,,,m10,Distal labial palpomeres length,79.6304
,,,,,,,,m11,Stipes length,548.28551
,,,,,,,,m12,Maxillary palp length,108.16654
,,,,,,,,m13,Galea length,765.78065
,,,,,,,,m14,Galea width,132.65368
,,,,,,,,m15,"Stipes width, across from palp",105.20932
OW220708-010,DRA,griseocollis,griseocollis,W,4.588338601,19.40895376,252.03174,m01,Mentum length,953.53028
,,,,,,,278.02878,m02,Mentum width,278.35229
,,,,,ITS pixels,BL pixels,274.35743,m03,Glossa length,NA
,,,,,812.15762,3390.83318,268.02985,m04,"Glossa width, at mid-point",72.24957
,,,,,,,,m05,Flabellum length,NA
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,805.43156
,,,,,182.00275,158.01266,,m07,Labial palpomere 1 width,80.49845
,,,,,174,188,,m08,Labial palpomere 2 length,221.28714
,,,,,175.01143,178.10109,,m09,Labial palpomere 2 width,54.40588
,,,,,,,,m10,Distal labial palpomeres length,82.13931
,,,,,,,,m11,Stipes length,548.81529
,,,,,,,,m12,Maxillary palp length,NA
,,,,,,,,m13,Galea length,1063.0636
,,,,,,,,m14,Galea width,184.00483
,,,,,,,,m15,"Stipes width, across from palp",NA
OW220714-001,DRA,griseocollis,griseocollis,M,5.90852508,19.45173757,268.1865,m01,Mentum length,804.00249
,,,,,,,266.36817,m02,Mentum width,192.09373
,,,,,ITS pixels,BL pixels,254.38553,m03,Glossa length,1548.91091
,,,,,977.38426,3398.23833,258.124,m04,"Glossa width, at mid-point",76.41989
,,,,,,,,m05,Flabellum length,34.05877
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,733.89373
,,,,,165.41933,168.04761,,m07,Labial palpomere 1 width,72.71864
,,,,,,174.01149,,m08,Labial palpomere 2 length,170.95029
,,,,,,182.04395,,m09,Labial palpomere 2 width,42.04759
,,,,,,,,m10,Distal labial palpomeres length,NA
,,,,,,,,m11,Stipes length,751.65151
,,,,,,,,m12,Maxillary palp length,88.76936
,,,,,,,,m13,Galea length,958.98096
,,,,,,,,m14,Galea width,141.32233
,,,,,,,,m15,"Stipes width, across from palp",146.16429
OW220714-002,DRA,griseocollis,griseocollis,W,4.641224781,19.3483097,236.37635,m01,Mentum length,656.64907
,,,,,,,243.28493,m02,Mentum width,236.84594
,,,,,ITS pixels,BL pixels,245.77135,m03,Glossa length,1149.51951
,,,,,814.51826,3316.00464,,m04,"Glossa width, at mid-point",61.18823
,,,,,,,,m05,Flabellum length,29.15476
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,675.29878
,,,,,172.04651,170,,m07,Labial palpomere 1 width,83.02075
