specimen_id,species,caste,investigator,LM,scale,measurement,scale1,body,scale2,its,notes
,,,,7,,107.331,,,,,
,,,,8,,236.561,,,,,
,,,,9,,63.53,,,,,
,,,,10,,77.92,,,,,
,,,,11,,662.507,,,,,
,,,,12,,81.304,,,,,
,,,,13,,876.91,,,,,
,,,,14,,217.332,,,,,
,,,,15,,144.045,,,,,
JL190809-006,tern,W,JL,1,303.366,695.354,137.621,2391.911,138.48,538.917,
,,,,2,,219.365,,,,,
,,,,3,,862.375,,,,,
,,,,4,,70.178,,,,,
,,,,5,,34.059,,,,,
,,,,6,,601.808,,,,,
,,,,7,,113.04,,,,,
,,,,8,,225.557,,,,,
,,,,9,,65,,,,,
,,,,10,,88.449,,,,,
,,,,11,,626.154,,,,,
,,,,12,,91.913,,,,,
,,,,13,,911.9,,,,,
,,,,14,,207.858,,,,,
,,,,15,,142.042,,,,,
JL190809-004,tern,W,JL,1,304.408,630.971,140.196,2115.948,137.551,511.278,
,,,,2,,191.377,,,,,
,,,,3,,850.928,,,,,
,,,,4,,67.683,,,,,
,,,,5,,27.295,,,,,
,,,,6,,566.032,,,,,
,,,,7,,89.006,,,,,
,,,,8,,201.269,,,,,
,,,,9,,62.129,,,,,
,,,,10,,85.314,,,,,
,,,,11,,577.257,,,,,
,,,,12,,83.095,,,,,
,,,,13,,846.856,,,,,
,,,,14,,189.011,,,,,
,,,,15,,139.778,,,,,
JL190809-002,tern,W,JL,1,317.44,656.531,140.257,2334.349,139.014,534.135,
,,,,2,,190.444,,,,,
,,,,3,,870.17,,,,,
,,,,4,,66.483,,,,,
,,,,5,,31.064,,,,,
,,,,6,,587.021,,,,,
,,,,7,,82.861,,,,,
,,,,8,,202.094,,,,,
,,,,9,,49.649,,,,,
,,,,10,,73.177,,,,,
,,,,11,,622.097,,,,,
,,,,12,,94.639,,,,,
,,,,13,,879.856,,,,,
,,,,14,,198.116,,,,,
,,,,15,,146.874,,,,,
JL190809-001,tern,W,JL,1,302.609,601.761,139.022,1958.531,139.508,494.773,
,,,,2,,198.162,,,,,
,,,,3,,843.014,,,,,
,,,,4,,59.135,,,,,
,,,,5,,22.091,,,,,
,,,,6,,530.479,,,,,
