specimen.id,species,caste,digitizer,its.mm,body.length.mm,scale,x,y,notes
,,,,,,,1618,912,
FJ190822-003,impatiens,W,JL,5.886,22.538,141.788,1968.333,416,its.slight.tilt
,,,,,,,1479,454.667,
,,,,,,,1541.667,502.667,
,,,,,,,1628.333,509.333,
,,,,,,,1737.667,486.667,
,,,,,,,1796.333,558.667,
,,,,,,,1784.333,626.667,
,,,,,,,1755,634.667,
,,,,,,,1608.333,596,
,,,,,,,1479,601.333,
,,,,,,,1419,545.333,
,,,,,,,1295,529.333,
,,,,,,,969.667,672,
,,,,,,,1316.333,694.667,
,,,,,,,1329.667,770.667,
,,,,,,,1340.333,796,
,,,,,,,1651,757.333,
,,,,,,,1333.667,866.667,
,,,,,,,981.667,762.667,
,,,,,,,1365.667,900,
FJ190822-004,bimaculatus,M,JL,,,140,1945,378,
,,,,,,,1530.333,376.667,
,,,,,,,1582.333,422,
,,,,,,,1657,440.667,
,,,,,,,1726.333,431.333,
,,,,,,,1789,490,
,,,,,,,1778.333,556.667,
,,,,,,,1753,560.667,
,,,,,,,1621,518,
,,,,,,,1521,516.667,
,,,,,,,1469,458,
,,,,,,,1370.333,432.667,
,,,,,,,1090.333,538,
,,,,,,,1383.667,576.667,
,,,,,,,1382.333,638,
,,,,,,,1393,663.333,
,,,,,,,1661,662,
,,,,,,,1375.667,718,
,,,,,,,1102.333,616.667,
,,,,,,,1407.667,754,
FJ190822-006,bimaculatus,M,JL,5.267,19.198,140.474,2084.333,1070.667,its.large.tilt
,,,,,,,1615,1044,
,,,,,,,1672.333,1101.333,
,,,,,,,1764.333,1120,
,,,,,,,1843,1112,
,,,,,,,1907,1184,
,,,,,,,1904.333,1241.333,
,,,,,,,1865.667,1245.333,
,,,,,,,1716.333,1197.333,
,,,,,,,1605.667,1190.667,
,,,,,,,1557.667,1128,
,,,,,,,1451,1098.667,
,,,,,,,1140.333,1206.667,
,,,,,,,1464.333,1257.333,
,,,,,,,1469.667,1325.333,
,,,,,,,1473.667,1352,
,,,,,,,1765.667,1353.333,
,,,,,,,1451,1409.333,
,,,,,,,1151,1292,
,,,,,,,1477.667,1441.333,
FJ190822-007,bimaculatus,M,JL,5.553,18.795,142.066,2176.333,495.333,
,,,,,,,1691,474,
,,,,,,,1745.667,531.333,
,,,,,,,1839,548.667,
,,,,,,,1931,538,
,,,,,,,2000.333,618,
,,,,,,,1985.667,678,
,,,,,,,1952.333,682,
,,,,,,,1804.333,632.667,
,,,,,,,1688.333,630,
,,,,,,,1629.667,563.333,
,,,,,,,1517.667,536.667,
,,,,,,,1199,652.667,
,,,,,,,1540.333,696.667,
,,,,,,,1540.333,772.667,
,,,,,,,1548.333,796.667,
,,,,,,,1837.667,795.333,
,,,,,,,1524.333,858,
,,,,,,,1201.667,738,
,,,,,,,1555,895.333,
FJ190822-008,bimaculatus,M,JL,3.987,18.367,140.061,1948.333,208,
,,,,,,,1495,249.333,
,,,,,,,1555,292,
,,,,,,,1637.667,298.667,
,,,,,,,1737.667,281.333,
,,,,,,,1792.333,341.333,
,,,,,,,1791,402.667,
,,,,,,,1760.333,410.667,
,,,,,,,1612.333,378.667,
,,,,,,,1504.333,392,
,,,,,,,1443,328,
,,,,,,,1343,309.333,
,,,,,,,1047,450.667,
,,,,,,,1373.667,461.333,
,,,,,,,1380.333,532,
,,,,,,,1391,553.333,
,,,,,,,1673.667,528,
,,,,,,,1369.667,613.333,
,,,,,,,1067,513.333,
,,,,,,,1405.667,641.333,
FJ190827-002,borealis,W,JL,6.341,23.475,141.369,1976.333,363.333,
,,,,,,,1500.333,364.667,
,,,,,,,1563,411.333,
,,,,,,,1655,424.667,
,,,,,,,1744.333,416.667,
,,,,,,,1793.667,503.333,
,,,,,,,1781.667,559.333,
,,,,,,,1756.333,566,
,,,,,,,1625.667,522,
,,,,,,,1501.667,520.667,
,,,,,,,1436.333,458,
,,,,,,,1339,423.333,
,,,,,,,1033.667,562,
,,,,,,,1367,604.667,
,,,,,,,1373.667,680.667,
,,,,,,,1387,702,
,,,,,,,1639,672.667,
,,,,,,,1369.667,760.667,
,,,,,,,1020.333,646,
,,,,,,,1400.333,800.667,
FJ190827-003,vagans,W,JL,4.605,19.521,141.807,1799,429.333,its.large.tilt
,,,,,,,1363,444,
,,,,,,,1413.667,493.333,
,,,,,,,1501.667,504,
,,,,,,,1568.333,490.667,
,,,,,,,1632.333,558.667,
,,,,,,,1632.333,605.333,
,,,,,,,1603,612,
,,,,,,,1472.333,577.333,
,,,,,,,1361.667,581.333,
,,,,,,,1299,529.333,
,,,,,,,1204.333,506.667,
,,,,,,,920.333,620,
,,,,,,,1241.667,646.667,
,,,,,,,1253.667,712,
,,,,,,,1265.667,733.333,
,,,,,,,1508.333,710.667,
,,,,,,,1247,785.333,
,,,,,,,940.333,690.667,
,,,,,,,1283,818.667,
FJ190827-004,vagans,W,JL,4.347,17.953,141.39,1826,400.667,its.slight.tilt
,,,,,,,1398,400.667,
,,,,,,,1448.667,450,
,,,,,,,1535.333,463.333,
,,,,,,,1612.667,454,
,,,,,,,1667.333,522,
,,,,,,,1663.333,571.333,
,,,,,,,1636.667,576.667,
,,,,,,,1504.667,542,
,,,,,,,1408.667,543.333,
,,,,,,,1342,482,
,,,,,,,1247.333,456.667,
,,,,,,,971.333,560.667,
,,,,,,,1279.333,598,
,,,,,,,1291.333,667.333,
,,,,,,,1302,688.667,
,,,,,,,1552.667,679.333,
,,,,,,,1280.667,740.667,
,,,,,,,988.667,638,
,,,,,,,1318,772.667,
FJ190827-005,borealis,W,JL,5.921,24.578,141.579,1724.667,188,its.slight.tilt
,,,,,,,1258,289.333,
,,,,,,,1322,324,
,,,,,,,1422,318.667,
,,,,,,,1503.333,288,
