specimen_id,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,species,caste,investigator,scale,scale1,body,scale2,its,notes
DRA190709-015,2.038582957,0.661341439,2.551930999,0.211220318,0.083377822,1.644622055,0.364604774,0.725849007,0.211939331,0.290086559,1.693123081,0.274762,2.550421996,0.637968863,0.547866874,tern,W,JL,324.055,68.318,1160.366,71.609,324.234,
DRA190709-016,3.034833988,1.061044743,4.244501595,0.320640451,0.153208709,2.558804823,0.477928028,1.006673672,0.268426341,0.3499069,2.864825876,0.29304242,4.213248714,0.93914883,0.705445864,tern,Q,JL,216.972,69.149,1828.829,71.7,440,
DRA190718-002,2.34732274,0.555013923,3.102986622,0.239617601,0.085431744,1.879235866,0.359873331,0.724169441,0.172405314,0.294079922,2.1618684,0.276348931,3.153757202,0.687222123,0.491968552,perp,M,JL,300.942,69.52,1237.08,68.967,318.057,
DRA190719-001,2.688245004,0.754707189,4.255689891,0.25613232,0.112632197,2.634298452,0.442428935,0.941233526,0.254962436,0.352994478,2.500999719,0.304399615,3.908825606,0.797261195,0.54885011,bim,W,JL,235.066,NA,NA,NA,NA,
DRA190815-002,2.36238258,0.633774046,3.353059272,0.181232302,0.088553852,2.31797676,0.395496534,0.783743775,0.218869251,0.297748267,2.029922859,0.249862318,3.105692803,0.641906064,0.488249194,imp,W,JL,256.025,70.593,1252.867,69.065,295.296,
DRA190815-003,2.413892112,0.559281547,3.360020099,0.229537288,0.076706505,2.328910796,0.359282345,0.690398427,0.229014879,0.285766128,2.154110886,0.214530968,3.006922927,0.643541061,0.478810501,imp,W,JL,250.761,70.218,1251.272,69.57,279.12,
DRA190815-004,2.482863089,0.7564628,3.460240937,0.25352542,0.11883122,2.395957292,0.365364133,0.778780112,0.234696835,0.299236394,2.257804473,0.291400872,3.4693184,0.70098565,0.482663626,imp,W,JL,265.713,70.407,1424.169,67.3,302.853,
DRA190824-001,2.147321832,0.643465603,2.984227677,0.222612091,0.105660666,1.907130896,0.346101735,0.728253997,0.202573598,0.191463491,1.980927301,0.260493458,2.796484926,0.652286292,0.439714292,tern,W,JL,287.846,137.865,2383.665,136.138,524.871,
DRA190824-002,1.967350483,0.565228397,2.601021309,0.197548269,0.082935013,1.651371556,0.298025077,0.629158818,0.179176478,0.171641747,1.812941488,0.311384507,2.666105486,0.621591712,0.445608665,tern,W,JL,339.76,139.061,1785.429,138.399,472.945,
DRA190824-003,2.048941076,0.619159086,2.883086442,0.211565581,0.102081004,1.931084206,0.305502973,0.696409061,0.200096555,0.261872396,1.963140944,0.257845055,2.803079581,0.593349807,0.436067563,tern,W,JL,314.848,137.012,2256.53,137.364,429.042,
DRA190824-005,2.33797518,0.716228133,3.337425267,0.234933558,0.100650842,2.084636303,0.322493788,0.738231359,0.233495066,0.290588776,2.228146827,0.249244708,3.279406094,0.744743134,0.452920407,imp,M,JL,298.229,140.032,2408.339,139.729,580.932,
DRA190824-006,2.052926257,0.581967928,2.724350933,0.202986255,0.081997927,1.886287771,0.318285699,0.612850442,0.164445838,0.256678848,1.914385841,0.262621359,2.789394022,0.567467547,0.439895822,imp,W,JL,366.68,137.952,2084.728,137.376,524.485,
FJ190529-001,3.593523941,1.091746025,5.069716534,0.324825264,0.148250419,3.501655684,0.518612559,0.969647639,0.278688342,0.358422322,3.374256887,0.54795373,5.010256353,1.031991377,0.726817641,imp,W,JL,179.986,NA,NA,68.637,476.151,
FJ190612-001,2.131178455,0.522518019,3.071202121,0.192141949,0.095760905,2.050111056,0.315954667,0.727923356,0.153054186,0.301343424,1.930677281,0.278429908,3.023590607,0.64836201,0.468856982,bim,W,JL,158.029,70.007,972.233,69.181,228.239,its.no.tilt; fuzzy part near the top; fur.yes
FJ190612-002,2.340995878,0.637808844,3.173143642,0.243902198,0.069519721,1.939903331,0.29718857,0.748954733,0.184625928,0.282431279,2.0553489,0.253938078,3.041438366,0.701734039,0.432419253,imp,W,JL,303.511,69.207,1186.297,70.425,304.304,
FJ190619-001,2.85173407,0.988313545,3.982179242,0.294972218,0.153044778,2.553620846,0.454255564,0.965653116,0.272177113,0.337764629,2.715185007,0.34563235,3.948536152,0.907325105,0.628978934,tern,Q,JL,230.181,68.679,1590.049,70.007,396.081,
FJ190619-002,3.010338491,1.107739383,4.768583482,0.317274875,0.157127855,2.925765655,0.393908257,1.018621957,0.253885987,0.372339559,2.825236961,0.403146812,4.421777822,1.016598619,0.611745322,tern,Q,JL,220.922,70.029,1634.567,69.367,428.065,
FJ190619-003,2.231165346,0.705368121,2.972669806,0.231505649,0.106912969,1.868806724,0.375383242,0.760635275,0.220211437,0.307274461,2.062012219,0.289331497,2.871599778,0.671597852,0.600166299,tern,W,JL,311.487,69.681,1144.391,97.827,393.192,
FJ190619-004,2.057390468,0.604633726,2.739990253,0.198570393,0.095373772,1.799548874,0.306228287,0.632282372,0.206193297,0.242452076,1.849872535,0.293756717,2.628502162,0.624578241,0.460385894,tern,W,JL,160.044,67.702,1077.794,69.818,246.389,its.large.tilt; fur.yes
FJ190619-005,2.440218661,0.666316249,3.69618745,0.227032036,0.133291283,2.40231899,0.325195845,0.882454173,0.241399181,0.301710041,2.259550842,0.348588204,3.637613107,0.665327291,0.565029824,bim,W,JL,128.418,68.41675,1270.071,69.137,280.444,its.no.tilt; fur.yes
FJ190619-006,2.288791992,0.90016134,3.00582982,0.247293512,0.116452447,1.798775258,0.414019157,0.792747512,0.205153273,0.3200523,1.936171872,0.239988244,2.831427046,0.773734623,0.650558691,terri,W,JL,166.729,53.48,1067.89,68.046,325.394,its.large.tilt; fur.no
FJ190619-007,2.179414351,0.618322253,2.947400383,0.212644151,0.079263163,1.826203023,0.276320367,0.779486466,0.204003011,0.261258469,1.910425668,0.251402762,2.936380716,0.552128339,0.473257381,tern,W,JL,158.081,68.686,1177.335,69.903,296.589,its.no.tilt; fur.yes
FJ190619-008,2.518070769,0.704161649,3.232505592,0.225703963,0.117780199,2.143549158,0.364256084,0.701997668,0.205536121,0.25466919,2.241180631,0.328611573,3.214868766,0.795106192,0.53416681,bim,W,,261.555,69.782,1460.21,68.778,335.452,
FJ190619-009,2.25665383,0.775295052,3.081741903,0.249637541,0.101737835,1.801608597,0.420183558,0.857112398,0.234755398,0.31554277,2.057901608,0.291718876,2.999284922,0.771762306,0.459752281,terri,W,JL,304.862,70.336,1279.61,67.524,330.055,
FJ190619-010,2.062406608,0.677010157,2.921728892,0.232375678,0.115444303,1.788925816,0.32702618,0.726231155,0.197380881,0.267309264,1.996791814,0.326187227,2.954462476,0.706315915,0.45421223,tern,W,JL,277.727,69.424,1153.286,70.077,277.953,
FJ190621-001,2.305888307,0.603950569,3.515846352,0.231349887,0.11158235,2.26138727,0.365104396,0.803441239,0.210784074,0.291483422,2.045891898,0.311451752,3.342057234,0.713071159,0.479533768,bim,W,JL,306.285,70.688,1186.369,70.47,264.394,
FJ190621-002,1.940412331,0.601473535,2.636906224,0.21026627,0.090997221,1.647101402,0.313497706,0.736208234,0.19594778,0.253806631,1.97656563,0.309781555,2.679674271,0.62111743,0.436256705,tern,W,JL,309.46,70.344,1043.584,70.016,269.258,
FJ190627-001,2.370936085,0.625668745,3.609753395,0.233601887,0.10318861,2.299071671,0.32910586,0.82065355,0.227868087,0.245477065,2.118458957,0.297587768,3.449776821,0.684834911,0.484076736,bim,W,JL,252.712,69.693,1162.196,69.688,267.268,
FJ190627-003,3.421994014,1.166818041,5.407451749,0.319950459,0.208979255,3.376984209,0.49937042,1.07784085,0.251336567,0.406729281,3.188915265,0.42574053,4.891681288,0.957797502,0.898162865,imp,Q,JL,96.89,164.896,4196.446,68.867,485.057,its.no.tilt; fur.yes
FJ190628-001,2.263812818,0.711450626,2.814765703,0.26935396,0.104919766,1.636100701,0.387719804,0.745744851,0.249441081,0.337673361,1.988744755,0.272556933,2.833342942,0.746292559,0.457352423,terri,W,JL,312.21,69.678,1172.308,70.23,344.244,
FJ190628-002,2.236636216,0.792481777,2.823324951,0.240436706,0.112130375,1.627329153,0.342139606,0.775054907,0.235627208,0.331183754,2.019623134,0.271050705,2.886341789,0.736015533,0.554944775,vag,W,JL,314.17,70.082,1264.767,70.315,327.377,
FJ190628-003,2.560013674,0.712859343,3.669832451,0.240078274,0.128475551,2.478172202,0.410543357,0.878192635,0.245170772,0.297050595,2.334093017,0.326894362,3.748923345,0.774209012,0.52253509,bim,W,JL,254.492,69.05,1223.19,69.479,307.584,
FJ190628-004,2.625790487,0.706982616,4.021515953,0.265742932,0.118477154,2.677109675,0.360895646,0.901369725,0.224910641,0.220972245,2.428196897,0.298497059,3.947364141,0.789251318,0.572012222,bim,W,JL,258.227,70.581,1261.772,71.253,302.06,
FJ190628-005,2.600281095,0.66422639,3.769281856,0.202153004,0.116156409,2.470483074,0.393764938,0.864244151,0.229602258,0.328506836,2.451906852,0.270473035,3.696173939,0.738813145,0.533347234,bim,W,JL,258.987,69.359,1042.33,70.359,297.516,
FJ190628-006,2.194694071,0.719385275,3.094402413,0.216331593,0.123699069,1.983011554,0.298419564,0.700321571,0.195092919,0.284771472,2.007441014,0.306228266,2.929883711,0.661913724,0.47771435,tern,W,JL,160.462,160.186,2367.158,69.173,286.351,its.no.tilt; fur.yes
FJ190628-007,2.75276634,0.715891128,4.375378288,0.2752771,0.131394758,2.82837265,0.410901223,0.971961222,0.243419304,0.318041715,2.553748374,0.41839937,4.153143113,0.793343996,0.548120101,bim,W,JL,214.453,NA,NA,NA,NA,
FJ190628-010,3.254667455,1.103123557,4.546093443,0.292319994,0.168341272,2.487486404,0.465071694,1.019365157,0.268842412,0.362688176,2.633924536,0.412812095,4.436607546,0.910748432,0.711643431,tern,Q,JL,201.341,68.118,1957.557,68.262,375.084,
FJ190628-011,2.690309517,0.704996074,4.025852308,0.245799413,0.113471631,2.445348981,0.388908633,0.899082607,0.232629447,0.335079962,2.474788214,0.288210257,3.939431381,0.699194182,0.510314476,bim,W,JL,241.99,69.942,1365.872,69.024,325.558,
